[INFO]: current net device: eth0, ip: 172.28.0.131
[INFO]: paddle job envs:
POD_IP=job-11ee553228d6cd2ff9f0a9fbb9498e8a-trainer-0.job-11ee553228d6cd2ff9f0a9fbb9498e8a
PADDLE_PORT=12345
PADDLE_TRAINER_ID=0
PADDLE_TRAINERS_NUM=1
PADDLE_USE_CUDA=1
NCCL_SOCKET_IFNAME=eth0
PADDLE_IS_LOCAL=1
OUTPUT_PATH=/root/paddlejob/workspace/output
LOCAL_LOG_PATH=/root/paddlejob/workspace/log
LOCAL_MOUNT_PATH=/mnt/code_20210903091521,/mnt/datasets_20210903091522
JOB_ID=job-11ee553228d6cd2ff9f0a9fbb9498e8a
TRAINING_ROLE=TRAINER
[INFO]: user command: python run.py
[INFO]: start trainer
~/paddlejob/workspace/code /mnt
  inflating: paddleseg/models/losses/focal_loss.py  
  inflating: paddleseg/models/losses/gscnn_dual_task_loss.py  
  inflating: paddleseg/models/losses/kl_loss.py  
  inflating: paddleseg/models/losses/l1_loss.py  
  inflating: paddleseg/models/losses/lovasz_loss.py  
  inflating: paddleseg/models/losses/mean_square_error_loss.py  
  inflating: paddleseg/models/losses/mixed_loss.py  
  inflating: paddleseg/models/losses/ohem_cross_entropy_loss.py  
  inflating: paddleseg/models/losses/ohem_edge_attention_loss.py  
   creating: paddleseg/transforms/
  inflating: paddleseg/transforms/__init__.py  
   creating: paddleseg/transforms/__pycache__/
  inflating: paddleseg/transforms/__pycache__/__init__.cpython-37.pyc  
  inflating: paddleseg/transforms/__pycache__/functional.cpython-37.pyc  
  inflating: paddleseg/transforms/__pycache__/transforms.cpython-37.pyc  
  inflating: paddleseg/transforms/functional.py  
  inflating: paddleseg/transforms/transforms.py  
   creating: paddleseg/utils/
  inflating: paddleseg/utils/__init__.py  
   creating: paddleseg/utils/__pycache__/
  inflating: paddleseg/utils/__pycache__/__init__.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/config_check.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/download.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/logger.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/metrics.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/progbar.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/timer.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/utils.cpython-37.pyc  
  inflating: paddleseg/utils/__pycache__/visualize.cpython-37.pyc  
  inflating: paddleseg/utils/config_check.py  
  inflating: paddleseg/utils/download.py  
   creating: paddleseg/utils/env/
  inflating: paddleseg/utils/env/__init__.py  
   creating: paddleseg/utils/env/__pycache__/
  inflating: paddleseg/utils/env/__pycache__/__init__.cpython-37.pyc  
  inflating: paddleseg/utils/env/__pycache__/seg_env.cpython-37.pyc  
  inflating: paddleseg/utils/env/__pycache__/sys_env.cpython-37.pyc  
  inflating: paddleseg/utils/env/seg_env.py  
  inflating: paddleseg/utils/env/sys_env.py  
  inflating: paddleseg/utils/logger.py  
  inflating: paddleseg/utils/metrics.py  
  inflating: paddleseg/utils/progbar.py  
  inflating: paddleseg/utils/timer.py  
  inflating: paddleseg/utils/utils.py  
  inflating: paddleseg/utils/visualize.py  
  inflating: predict.py              
  inflating: README.md               
  inflating: README_CN.md            
  inflating: requirements.txt        
  inflating: setup.py                
  inflating: train.py                
  inflating: val.py                  
cityscapes
configs
export.py
HRNet_W48.zip
LICENSE
paddleseg
predict.py
README_CN.md
README.md
requirements.txt
run.py
run.sh
setup.py
train.py
val.py
WARNING 2021-09-03 09:16:35,783 launch.py:359] Not found distinct arguments and compiled with cuda or xpu. Default use collective mode
INFO 2021-09-03 09:16:35,785 launch_utils.py:510] Local start 4 processes. First process distributed environment info (Only For Debug): 
    +=======================================================================================+
    |                        Distributed Envs                      Value                    |
    +---------------------------------------------------------------------------------------+
    |                       PADDLE_TRAINER_ID                        0                      |
    |                 PADDLE_CURRENT_ENDPOINT                 127.0.0.1:58786               |
    |                     PADDLE_TRAINERS_NUM                        4                      |
    |                PADDLE_TRAINER_ENDPOINTS  ... 0.1:50500,127.0.0.1:58602,127.0.0.1:40055|
    |                     PADDLE_RANK_IN_NODE                        0                      |
    |                 PADDLE_LOCAL_DEVICE_IDS                        0                      |
    |                 PADDLE_WORLD_DEVICE_IDS                     0,1,2,3                   |
    |                     FLAGS_selected_gpus                        0                      |
    |             FLAGS_selected_accelerators                        0                      |
    +=======================================================================================+

INFO 2021-09-03 09:16:35,785 launch_utils.py:514] details abouts PADDLE_TRAINER_ENDPOINTS can be found in log/endpoints.log, and detail running logs maybe found in log/workerlog.0
-----------  Configuration Arguments -----------
gpus: None
heter_worker_num: None
heter_workers: 
http_port: None
ips: 127.0.0.1
log_dir: log
nproc_per_node: None
run_mode: None
server_num: None
servers: 
training_script: train.py
training_script_args: ['--config', 'configs/HRNet_W48_cityscapes_1024x512_40k.yml', '--num_workers', '8', '--do_eval', '--use_vdl', '--log_iter', '10', '--save_interval', '2000', '--save_dir', '/root/paddlejob/workspace/output']
worker_num: None
workers: 
------------------------------------------------
launch train in GPU mode!
launch proc_id:585 idx:0
launch proc_id:588 idx:1
launch proc_id:591 idx:2
launch proc_id:594 idx:3
2021-09-03 09:16:38 [INFO]	
------------Environment Information-------------
platform: Linux-4.4.0-150-generic-x86_64-with-centos-6.10-Final
Python: 3.7.0 (default, Nov 24 2018, 08:51:28) [GCC 4.8.2 20140120 (Red Hat 4.8.2-15)]
Paddle compiled with cuda: True
NVCC: Cuda compilation tools, release 10.1, V10.1.243
cudnn: 7.6
GPUs used: 4
CUDA_VISIBLE_DEVICES: None
GPU: ['GPU 0: Tesla V100-SXM2-32GB', 'GPU 1: Tesla V100-SXM2-32GB', 'GPU 2: Tesla V100-SXM2-32GB', 'GPU 3: Tesla V100-SXM2-32GB']
GCC: gcc (GCC) 4.8.2 20140120 (Red Hat 4.8.2-15)
PaddlePaddle: 2.1.2
OpenCV: 4.1.1
------------------------------------------------
2021-09-03 09:16:38 [INFO]	
---------------Config Information---------------
batch_size: 2
iters: 40000
loss:
  coef:
  - 1
  - 0.1
  types:
  - ignore_index: 255
    type: CrossEntropyLoss
  - base_temperature: 0.07
    ignore_index: 255
    max_samples: 1024
    max_views: 100
    temperature: 0.1
    type: PixelContrastLoss
lr_scheduler:
  end_lr: 0.0
  learning_rate: 0.01
  power: 0.9
  type: PolynomialDecay
model:
  backbone:
    pretrained: https://bj.bcebos.com/paddleseg/dygraph/hrnet_w48_ssld.tar.gz
    type: HRNet_W48
  drop_prob: 0.1
  in_channels: 720
  num_classes: 19
  proj_dim: 256
  type: HRNetW48Contrast
optimizer:
  type: sgd
  weight_decay: 0.0002
train_dataset:
  dataset_root: cityscapes
  mode: train
  transforms:
  - max_scale_factor: 2.0
    min_scale_factor: 0.5
    scale_step_size: 0.25
    type: ResizeStepScaling
  - crop_size:
    - 1024
    - 512
    type: RandomPaddingCrop
  - type: RandomHorizontalFlip
  - brightness_range: 0.4
    contrast_range: 0.4
    saturation_range: 0.4
    type: RandomDistort
  - type: Normalize
  type: Cityscapes
val_dataset:
  dataset_root: cityscapes
  mode: val
  transforms:
  - type: Normalize
  type: Cityscapes
------------------------------------------------
W0903 09:16:39.006848   585 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0903 09:16:39.006901   585 device_context.cc:422] device: 0, cuDNN Version: 7.6.
2021-09-03 09:16:50 [INFO]	Loading pretrained model from https://bj.bcebos.com/paddleseg/dygraph/hrnet_w48_ssld.tar.gz
2021-09-03 09:17:06 [INFO]	There are 1525/1525 variables loaded into HRNet.
W0903 09:17:07.018389   585 gen_comm_id_helper.cc:120] connect addr=127.0.0.1:50500 failed 1 times with reason: Connection refused retry after 0.5 seconds
I0903 09:17:07.518859   585 nccl_context.cc:74] init nccl context nranks: 4 local rank: 0 gpu id: 0 ring id: 0
I0903 09:17:07.898996   585 nccl_context.cc:107] init nccl context nranks: 4 local rank: 0 gpu id: 0 ring id: 10
2021-09-03 09:17:07,997-INFO: [topology.py:152:__init__] HybridParallelInfo: rank_id: 0, dp_degree: 4, mp_degree: 1, pp_degree: 1, dp_group: [0, 1, 2, 3], mp_group: [0], pp_group: [0], check/clip group: [0]
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/paddle/fluid/dygraph/math_op_patch.py:239: UserWarning: The dtype of left and right variables are not the same, left dtype is paddle.float32, but right dtype is paddle.int64, the right dtype will convert to paddle.float32
  format(lhs_dtype, rhs_dtype, lhs_dtype))
2021-09-03 09:17:22 [INFO]	[TRAIN] epoch: 1, iter: 10/40000, loss: 2.7191, lr: 0.009998, batch_cost: 1.4170, reader_cost: 0.40958, ips: 1.4114 samples/sec | ETA 15:44:27
2021-09-03 09:17:30 [INFO]	[TRAIN] epoch: 1, iter: 20/40000, loss: 1.9656, lr: 0.009996, batch_cost: 0.8078, reader_cost: 0.00036, ips: 2.4757 samples/sec | ETA 08:58:17
2021-09-03 09:17:38 [INFO]	[TRAIN] epoch: 1, iter: 30/40000, loss: 1.6890, lr: 0.009993, batch_cost: 0.8031, reader_cost: 0.00020, ips: 2.4902 samples/sec | ETA 08:55:01
2021-09-03 09:17:46 [INFO]	[TRAIN] epoch: 1, iter: 40/40000, loss: 1.5611, lr: 0.009991, batch_cost: 0.7981, reader_cost: 0.00020, ips: 2.5060 samples/sec | ETA 08:51:31
2021-09-03 09:17:54 [INFO]	[TRAIN] epoch: 1, iter: 50/40000, loss: 1.6729, lr: 0.009989, batch_cost: 0.8085, reader_cost: 0.00020, ips: 2.4737 samples/sec | ETA 08:58:19
2021-09-03 09:18:02 [INFO]	[TRAIN] epoch: 1, iter: 60/40000, loss: 1.4726, lr: 0.009987, batch_cost: 0.7909, reader_cost: 0.00020, ips: 2.5286 samples/sec | ETA 08:46:30
2021-09-03 09:18:10 [INFO]	[TRAIN] epoch: 1, iter: 70/40000, loss: 1.1995, lr: 0.009984, batch_cost: 0.8020, reader_cost: 0.00021, ips: 2.4938 samples/sec | ETA 08:53:44
2021-09-03 09:18:18 [INFO]	[TRAIN] epoch: 1, iter: 80/40000, loss: 1.3484, lr: 0.009982, batch_cost: 0.8050, reader_cost: 0.00021, ips: 2.4845 samples/sec | ETA 08:55:35
2021-09-03 09:18:26 [INFO]	[TRAIN] epoch: 1, iter: 90/40000, loss: 1.0597, lr: 0.009980, batch_cost: 0.7889, reader_cost: 0.00022, ips: 2.5351 samples/sec | ETA 08:44:46
2021-09-03 09:18:34 [INFO]	[TRAIN] epoch: 1, iter: 100/40000, loss: 1.3582, lr: 0.009978, batch_cost: 0.7926, reader_cost: 0.00025, ips: 2.5233 samples/sec | ETA 08:47:04
2021-09-03 09:18:42 [INFO]	[TRAIN] epoch: 1, iter: 110/40000, loss: 1.2560, lr: 0.009975, batch_cost: 0.7921, reader_cost: 0.00021, ips: 2.5249 samples/sec | ETA 08:46:37
2021-09-03 09:18:50 [INFO]	[TRAIN] epoch: 1, iter: 120/40000, loss: 1.2360, lr: 0.009973, batch_cost: 0.7861, reader_cost: 0.00022, ips: 2.5442 samples/sec | ETA 08:42:30
2021-09-03 09:18:58 [INFO]	[TRAIN] epoch: 1, iter: 130/40000, loss: 1.3522, lr: 0.009971, batch_cost: 0.7871, reader_cost: 0.00021, ips: 2.5409 samples/sec | ETA 08:43:03
2021-09-03 09:19:05 [INFO]	[TRAIN] epoch: 1, iter: 140/40000, loss: 1.2782, lr: 0.009969, batch_cost: 0.7901, reader_cost: 0.00021, ips: 2.5313 samples/sec | ETA 08:44:54
2021-09-03 09:19:13 [INFO]	[TRAIN] epoch: 1, iter: 150/40000, loss: 1.2550, lr: 0.009966, batch_cost: 0.7910, reader_cost: 0.00022, ips: 2.5284 samples/sec | ETA 08:45:22
2021-09-03 09:19:21 [INFO]	[TRAIN] epoch: 1, iter: 160/40000, loss: 1.2983, lr: 0.009964, batch_cost: 0.7829, reader_cost: 0.00021, ips: 2.5546 samples/sec | ETA 08:39:50
2021-09-03 09:19:29 [INFO]	[TRAIN] epoch: 1, iter: 170/40000, loss: 1.1233, lr: 0.009962, batch_cost: 0.7859, reader_cost: 0.00022, ips: 2.5449 samples/sec | ETA 08:41:41
2021-09-03 09:19:37 [INFO]	[TRAIN] epoch: 1, iter: 180/40000, loss: 1.0697, lr: 0.009960, batch_cost: 0.7912, reader_cost: 0.00022, ips: 2.5279 samples/sec | ETA 08:45:04
2021-09-03 09:19:45 [INFO]	[TRAIN] epoch: 1, iter: 190/40000, loss: 1.3478, lr: 0.009957, batch_cost: 0.7901, reader_cost: 0.00021, ips: 2.5312 samples/sec | ETA 08:44:15
2021-09-03 09:19:53 [INFO]	[TRAIN] epoch: 1, iter: 200/40000, loss: 1.3331, lr: 0.009955, batch_cost: 0.7921, reader_cost: 0.00021, ips: 2.5249 samples/sec | ETA 08:45:25
2021-09-03 09:20:01 [INFO]	[TRAIN] epoch: 1, iter: 210/40000, loss: 1.3778, lr: 0.009953, batch_cost: 0.8014, reader_cost: 0.00022, ips: 2.4955 samples/sec | ETA 08:51:28
2021-09-03 09:20:09 [INFO]	[TRAIN] epoch: 1, iter: 220/40000, loss: 1.0636, lr: 0.009951, batch_cost: 0.7926, reader_cost: 0.00022, ips: 2.5233 samples/sec | ETA 08:45:30
2021-09-03 09:20:17 [INFO]	[TRAIN] epoch: 1, iter: 230/40000, loss: 1.0471, lr: 0.009948, batch_cost: 0.8085, reader_cost: 0.00022, ips: 2.4736 samples/sec | ETA 08:55:55
2021-09-03 09:20:25 [INFO]	[TRAIN] epoch: 1, iter: 240/40000, loss: 1.1748, lr: 0.009946, batch_cost: 0.8019, reader_cost: 0.00023, ips: 2.4939 samples/sec | ETA 08:51:25
2021-09-03 09:20:33 [INFO]	[TRAIN] epoch: 1, iter: 250/40000, loss: 1.1565, lr: 0.009944, batch_cost: 0.7947, reader_cost: 0.00022, ips: 2.5167 samples/sec | ETA 08:46:28
2021-09-03 09:20:41 [INFO]	[TRAIN] epoch: 1, iter: 260/40000, loss: 1.0988, lr: 0.009942, batch_cost: 0.7950, reader_cost: 0.00022, ips: 2.5158 samples/sec | ETA 08:46:32
2021-09-03 09:20:49 [INFO]	[TRAIN] epoch: 1, iter: 270/40000, loss: 1.1284, lr: 0.009939, batch_cost: 0.7936, reader_cost: 0.00022, ips: 2.5200 samples/sec | ETA 08:45:31
2021-09-03 09:20:57 [INFO]	[TRAIN] epoch: 1, iter: 280/40000, loss: 0.9182, lr: 0.009937, batch_cost: 0.7955, reader_cost: 0.00021, ips: 2.5140 samples/sec | ETA 08:46:38
2021-09-03 09:21:05 [INFO]	[TRAIN] epoch: 1, iter: 290/40000, loss: 1.0440, lr: 0.009935, batch_cost: 0.7948, reader_cost: 0.00021, ips: 2.5162 samples/sec | ETA 08:46:03
2021-09-03 09:21:12 [INFO]	[TRAIN] epoch: 1, iter: 300/40000, loss: 1.0570, lr: 0.009933, batch_cost: 0.7889, reader_cost: 0.00022, ips: 2.5351 samples/sec | ETA 08:42:00
2021-09-03 09:21:20 [INFO]	[TRAIN] epoch: 1, iter: 310/40000, loss: 1.0449, lr: 0.009930, batch_cost: 0.7909, reader_cost: 0.00022, ips: 2.5287 samples/sec | ETA 08:43:11
2021-09-03 09:21:28 [INFO]	[TRAIN] epoch: 1, iter: 320/40000, loss: 1.0243, lr: 0.009928, batch_cost: 0.7961, reader_cost: 0.00022, ips: 2.5122 samples/sec | ETA 08:46:30
2021-09-03 09:21:36 [INFO]	[TRAIN] epoch: 1, iter: 330/40000, loss: 0.9734, lr: 0.009926, batch_cost: 0.7930, reader_cost: 0.00022, ips: 2.5221 samples/sec | ETA 08:44:17
2021-09-03 09:21:44 [INFO]	[TRAIN] epoch: 1, iter: 340/40000, loss: 1.1943, lr: 0.009924, batch_cost: 0.7892, reader_cost: 0.00021, ips: 2.5343 samples/sec | ETA 08:41:38
2021-09-03 09:21:52 [INFO]	[TRAIN] epoch: 1, iter: 350/40000, loss: 1.1390, lr: 0.009921, batch_cost: 0.7823, reader_cost: 0.00022, ips: 2.5567 samples/sec | ETA 08:36:57
2021-09-03 09:22:00 [INFO]	[TRAIN] epoch: 1, iter: 360/40000, loss: 0.9997, lr: 0.009919, batch_cost: 0.7834, reader_cost: 0.00020, ips: 2.5531 samples/sec | ETA 08:37:32
2021-09-03 09:22:08 [INFO]	[TRAIN] epoch: 1, iter: 370/40000, loss: 1.1213, lr: 0.009917, batch_cost: 0.7824, reader_cost: 0.00016, ips: 2.5564 samples/sec | ETA 08:36:44
2021-09-03 09:22:19 [INFO]	[TRAIN] epoch: 2, iter: 380/40000, loss: 0.9914, lr: 0.009915, batch_cost: 1.1537, reader_cost: 0.25661, ips: 1.7336 samples/sec | ETA 12:41:49
2021-09-03 09:22:27 [INFO]	[TRAIN] epoch: 2, iter: 390/40000, loss: 1.0360, lr: 0.009912, batch_cost: 0.8051, reader_cost: 0.00036, ips: 2.4842 samples/sec | ETA 08:51:29
2021-09-03 09:22:35 [INFO]	[TRAIN] epoch: 2, iter: 400/40000, loss: 1.1316, lr: 0.009910, batch_cost: 0.8059, reader_cost: 0.00021, ips: 2.4817 samples/sec | ETA 08:51:53
2021-09-03 09:22:43 [INFO]	[TRAIN] epoch: 2, iter: 410/40000, loss: 1.2441, lr: 0.009908, batch_cost: 0.8008, reader_cost: 0.00021, ips: 2.4976 samples/sec | ETA 08:48:22
2021-09-03 09:22:51 [INFO]	[TRAIN] epoch: 2, iter: 420/40000, loss: 1.0603, lr: 0.009906, batch_cost: 0.7961, reader_cost: 0.00022, ips: 2.5122 samples/sec | ETA 08:45:09
2021-09-03 09:22:59 [INFO]	[TRAIN] epoch: 2, iter: 430/40000, loss: 1.1519, lr: 0.009903, batch_cost: 0.7984, reader_cost: 0.00022, ips: 2.5051 samples/sec | ETA 08:46:31
2021-09-03 09:23:07 [INFO]	[TRAIN] epoch: 2, iter: 440/40000, loss: 1.1537, lr: 0.009901, batch_cost: 0.8033, reader_cost: 0.00022, ips: 2.4896 samples/sec | ETA 08:49:39
2021-09-03 09:23:15 [INFO]	[TRAIN] epoch: 2, iter: 450/40000, loss: 0.9822, lr: 0.009899, batch_cost: 0.7910, reader_cost: 0.00022, ips: 2.5285 samples/sec | ETA 08:41:23
2021-09-03 09:23:23 [INFO]	[TRAIN] epoch: 2, iter: 460/40000, loss: 0.9686, lr: 0.009897, batch_cost: 0.7845, reader_cost: 0.00022, ips: 2.5493 samples/sec | ETA 08:36:59
2021-09-03 09:23:31 [INFO]	[TRAIN] epoch: 2, iter: 470/40000, loss: 1.1640, lr: 0.009894, batch_cost: 0.7986, reader_cost: 0.00023, ips: 2.5044 samples/sec | ETA 08:46:08
2021-09-03 09:23:39 [INFO]	[TRAIN] epoch: 2, iter: 480/40000, loss: 1.0664, lr: 0.009892, batch_cost: 0.7949, reader_cost: 0.00022, ips: 2.5161 samples/sec | ETA 08:43:33
2021-09-03 09:23:47 [INFO]	[TRAIN] epoch: 2, iter: 490/40000, loss: 1.0441, lr: 0.009890, batch_cost: 0.8055, reader_cost: 0.00022, ips: 2.4828 samples/sec | ETA 08:50:26
2021-09-03 09:23:55 [INFO]	[TRAIN] epoch: 2, iter: 500/40000, loss: 1.0057, lr: 0.009888, batch_cost: 0.7963, reader_cost: 0.00022, ips: 2.5116 samples/sec | ETA 08:44:14
2021-09-03 09:24:03 [INFO]	[TRAIN] epoch: 2, iter: 510/40000, loss: 0.9437, lr: 0.009885, batch_cost: 0.8013, reader_cost: 0.00023, ips: 2.4960 samples/sec | ETA 08:47:23
2021-09-03 09:24:11 [INFO]	[TRAIN] epoch: 2, iter: 520/40000, loss: 0.9824, lr: 0.009883, batch_cost: 0.8013, reader_cost: 0.00023, ips: 2.4960 samples/sec | ETA 08:47:14
